nis_code,postal_code,name
41035,9620,Leeuwergem
41036,9521,Letterhoutem
41037,9400,Lieferinge
41038,9402,Meerbeke
41039,3320,Meldert
41040,9420,Mere
41041,9500,Moerbeke
41042,9310,Moorsel
41043,9500,Nederboelare
41044,9400,Nederhasselt
41045,9403,Neigem
41046,9506,Nieuwenhove
41047,3850,Nieuwerkerken
41048,9400,Ninove
41049,9400,Okegem
41050,9500,Onkerzele
41051,9520,Oombergen
41052,9340,Oordegem
41053,9500,Ophasselt
41054,9420,Ottergem
41055,9406,Outer
41056,9500,Overboelare
41057,9401,Pollare
41058,9551,Ressegem
41059,9506,Schendelbeke
41060,9550,Sint-Antelinks
41061,9620,Sint-Goriks-Oudenhove
41062,9550,Sint-Lievens-Esse
41063,9520,Sint-Lievens-Houtem
41064,9620,Sint-Maria-Oudenhove
41065,9506,Smeerebbe-Vloerzegem
41066,9340,Smetlede
41067,9550,Steenhuize-Wijnhuize
41068,9620,Strijpen
41069,9620,Velzeke-Ruddershove
41070,9500,Viane
41071,9420,Vlekkem
41072,9520,Vlierzele
41073,9400,Voorde
41074,9506,Waarbeke
41075,9340,Wanzele
41076,9473,Welle
41077,9550,Woubrechtegem
41078,9506,Zandbergen
41079,9500,Zarlardinge
41080,9520,Zonnegem
41081,9620,Zottegem
42001,9200,Appels
42002,9200,Baasrode
42003,9290,Berlare
42004,9255,Buggenhout
42005,9280,Denderbelle
42006,9200,Dendermonde
42007,9200,Grembergen
42008,1785,Hamme
42009,9270,Kalken
42010,9270,Laarne
42011,9280,Lebbeke
42012,9230,Massemen
42013,9200,Mespelare
42014,9220,Moerzeke
42016,9200,Oudegem
42017,9290,Overmere
42018,9260,Schellebelle
42019,9200,Schoonaarde
42020,9260,Serskamp
42022,9290,Uitbergen
42023,9250,Waasmunster
42024,9230,Westrem
42025,9230,Wetteren
42026,9260,Wichelen
42027,9280,Wieze
42028,9240,Zele
43001,9991,Adegem
43002,9960,Assenede
43003,9968,Bassevelde
43004,9961,Boekhoute
43005,9900,Eeklo
43006,9940,Ertvelde
43007,9970,Kaprijke
43009,9971,Lembeke
43010,9990,Maldegem
43011,9992,Middelburg
43012,9968,Oosteeklo
43013,9982,Sint-Jan-in-Eremo
43014,9980,Sint-Laureins
43015,9981,Sint-Margriete
43016,9988,Waterland-Oudeman
43017,9988,Watervliet
43018,9060,Zelzate
44001,9880,Aalter
44002,9051,Afsnee
44003,9890,Asper
44004,9800,Astene
44005,9890,Baaigem
44006,9800,Bachte-Maria-Leerne
44007,9860,Balegem
44008,9080,Beervelde
44009,9881,Bellem
44010,9820,Bottelare
44011,9800,Deinze
44012,9840,De Pinte
44013,9070,Destelbergen
44015,9831,Deurle
44016,9890,Dikkelvenne
44017,9031,Drongen
44018,9810,Eke
44019,9940,Evergem
44020,9890,Gavere
44021,9000,Ghent
44022,9050,Gentbrugge
44023,9860,Gijzenzele
44024,9090,Gontrode
44025,9800,Gottem
44026,9800,Grammene
44027,9850,Hansbeke
44028,3550,Heusden
44029,9910,Knesselare
44030,9850,Landegem
44031,9860,Landskouter
44032,9050,Ledeberg
44034,9080,Lochristi
44035,9880,Lotenhulle
44036,9920,Lovendegem
44037,1830,Machelen
44038,9030,Mariakerke
44039,9800,Meigem
44040,9090,Melle
44041,9820,Melsen
44043,9820,Merelbeke
44044,9850,Merendree
44045,9500,Moerbeke
44046,9860,Moortsele
44047,9820,Munte
44048,9810,"Nazareth, Belgium"
44049,9850,Nevele
44050,9870,Olsene
44051,9041,Oostakker
44052,9860,Oosterzele
44053,9931,Oostwinkel
44054,9800,Petegem-aan-de-Leie
44055,9880,Poeke
44056,9850,Poesele
44057,9932,Ronsele
44058,9820,Schelderode
44059,9860,Scheldewindeke
44060,9890,Semmerzake
44061,9040,Sint-Amandsberg
44062,9051,Sint-Denijs-Westrem
44064,9830,Sint-Martens-Latem
44065,9800,Sint-Martens-Leerne
44066,9940,Sleidinge
44067,9910,Ursel
44068,9921,Vinderhoute
44069,9800,Vinkt
44070,9850,Vosselare
44071,9890,Vurste
44072,9950,Waarschoot
44073,9185,Wachtebeke
44074,9032,Wondelgem
44075,9800,Wontergem
44076,9080,Zaffelare
44077,9080,Zeveneken
44078,9800,Zeveren
44079,9840,Zevergem
44080,9930,Zomergem
44081,9870,Zulte
44082,9052,Zwijnaarde
44083,9800,#N/A
44084,9880,#N/A
45001,9630,Beerlegem
45002,2600,Berchem
45004,9570,Deftinge
45005,9630,Dikkele
45008,9790,Elsegem
45009,9660,Elst
45011,9680,Etikhove
45012,9660,Everbeek
45013,9571,Hemelveerdegem
45014,9700,Heurne
45015,9750,Huise
45016,9630,Hundelgem
45017,9770,Kruishoutem
45018,9690,Kwaremont
45020,9680,Maarke-Kerkem
45021,9700,Mater
45022,9630,Meilegem
45023,9700,Melden
45024,9660,Michelbeke
45025,9790,Moregem
45026,9700,Mullem
45027,9630,Munkzwalm
45028,9660,Nederbrakel
45030,9636,Nederzwalm-Hermelgem
45031,9771,Nokere
45032,9681,Nukerke
45033,9700,Ooike
45034,9660,Opbrakel
45035,9700,Oudenaarde
45036,9750,Ouwegem
45037,9661,Parike
45038,9630,Paulatem
45039,9790,Petegem-aan-de-Schelde
45040,9630,Roborst
45041,9600,Ronse
45042,9630,Rozebeke
45043,9690,Ruien
45044,9688,Schorisse
45045,9630,Sint-Blasius-Boekel
45046,9630,Sint-Denijs-Boekel
45047,9667,Sint-Kornelis-Horebeke
45048,9667,Sint-Maria-Horebeke
45049,9630,Sint-Maria-Latem
45050,9570,Sint-Maria-Lierde
45051,9572,Sint-Martens-Lierde
45053,9772,Wannegem-Lede
45054,9700,Welden
45055,9790,Wortegem
45056,9660,Zegelsem
45057,9750,Zingem
45058,9690,Zulzeke
45059,9660,Brakel
46001,9150,Bazel
46002,9111,Belsele
46003,8791,Beveren
46004,9160,Daknam
46005,9170,De Klinge
46006,9130,Doel
46007,9160,Eksaarde
46008,9140,Elversele
46009,9120,Haasdonk
46010,9120,Kallo
46011,9190,Kemzeke
46012,9130,Kieldrecht
46013,9150,Kruibeke
46014,9160,Lokeren
46015,9170,Meerdonk
46016,9120,Melsele
46017,9100,Nieuwkerken-Waas
46018,9150,Rupelmonde
46020,9170,Sint-Gillis-Waas
46021,9100,Sint-Niklaas
46022,9170,Sint-Pauwels
46023,9140,Steendorp
46024,9190,Stekene
46025,9140,Temse
46026,9140,Tielrode
46027,9130,Verrebroek
46028,9120,Vrasene
51001,7910,Anvaing
51002,5170,Arbre
51003,7910,Arc-Ainières
51005,7941,Attre
51006,7972,Aubechies
51007,7971,Basècles
51008,7970,Belœil
51009,7320,Bernissart
51010,7903,Blicquy
51011,7803,Bouvignies
51012,7940,Brugelette
51013,7911,Buissenal
51014,7950,Chièvres
51015,7910,Cordes
51016,7912,Dergneau
51018,7972,Ellignies-Sainte-Anne
51019,7880,Flobecq
51020,7910,Forest
51021,7830,Fouleng
51022,7911,Frasnes-lez-Buissenal
51023,7943,Gages
51025,7823,Gibecq
51026,7830,Gondregnies
51028,7950,Grosage
51029,7911,Hacquegnies
51031,7830,Hellebecq
51032,7911,Herquegies
51033,7812,Houtaing
51034,7950,Huissignies
51035,7801,Irchonwelz
51036,7822,Isières
51037,7950,Ladeuze
51038,7890,Lahamaide
51039,7800,Lanquesaint
51040,7810,Maffle
51041,7812,Mainvault
51043,7942,Mévergnies-lez-Lens
51044,7812,Moulbaix
51045,7911,Moustier
51046,7911,Oeudeghien
51047,7802,Ormeignies
51048,7804,Ostiches
51049,7322,Pommeroeul
51050,7972,Quevaucamps
51051,7971,Ramegnies
51052,7804,Rebaix
51053,7912,Saint-Sauveur
51054,7973,Stambruges
51055,7971,Thumaide
51056,7951,Tongre-Notre-Dame
51057,7950,Tongre-Saint-Martin
51058,7904,Tourpes
51060,7812,Villers-Notre-Dame
51061,7812,Villers-Saint-Amand
51062,7971,Wadelincourt
51063,7890,Wodecq
51064,7910,Arc-Wattripont
51067,7850,Enghien
52001,6280,Acoz
52002,6250,Aiseau
52003,7181,Arquennes
52004,7170,Bellecourt
52005,5140,Boignée
52007,6200,Bouffioulx
52008,6222,Brye
52009,6230,Buzet
52010,7160,Chapelle-lez-Herlaimont
52011,6000,Charleroi
52012,6200,Châtelet
52013,6200,Châtelineau
52014,6010,Couillet
52015,6180,Courcelles
52016,6020,Dampremy
52017,7181,Familleureux
52018,6240,Farciennes
52019,7170,Fayt-lez-Manage
52020,7181,Feluy
52021,6220,Fleurus
